0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:37 +0530] "GET /Khajina_Doctor/AdminController HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:42 +0530] "POST /Khajina_Doctor/AdminController HTTP/1.1" 200 28028
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:42 +0530] "GET /Khajina_Doctor/images/3.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:42 +0530] "GET /Khajina_Doctor/images/1.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:42 +0530] "GET /Khajina_Doctor/images/2.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:42 +0530] "GET /Khajina_Doctor/images/3.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:42 +0530] "GET /Khajina_Doctor/images/2.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:43 +0530] "GET /Khajina_Doctor/AdminController HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:46 +0530] "GET /Khajina_Doctor/admin-doctor_list.jsp HTTP/1.1" 200 14029
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:46 +0530] "GET /Khajina_Doctor/images/3.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:46 +0530] "GET /Khajina_Doctor/images/1.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:46 +0530] "GET /Khajina_Doctor/images/2.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2023:11:27:46 +0530] "GET /Khajina_Doctor/images/3.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2023:11:29:36 +0530] "GET /Khajina_Doctor/Patient_Login.jsp HTTP/1.1" 200 16838
0:0:0:0:0:0:0:1 - - [10/May/2023:11:29:43 +0530] "GET /Khajina_Doctor/Patient_Login.jsp HTTP/1.1" 200 16838
0:0:0:0:0:0:0:1 - - [10/May/2023:11:30:03 +0530] "POST /Khajina_Doctor/PatientController HTTP/1.1" 200 16898
0:0:0:0:0:0:0:1 - - [10/May/2023:11:30:17 +0530] "GET /Khajina_Doctor/Patient-forgetpassword.jsp HTTP/1.1" 200 16237
0:0:0:0:0:0:0:1 - - [10/May/2023:11:30:41 +0530] "POST /Khajina_Doctor/PatientController HTTP/1.1" 500 1143
